week,week_start,week_end,team,opponent,H,AB,R,HR,RBI,SB,AVG,OPS,OPS_WEIGHT,IP,SV,K,ERA,WHIP,KBB,QS
10,2026-05-25,2026-05-31,Vaterlaus,Bleacherboysfan1,72,252,44,9,46,5,0.286,0.841,280.0,102.2,1,88,4.03,1.15,3.14,6
10,2026-05-25,2026-05-31,NY ZOHRAN 🔥,Maestro Max,68,242,34,13,30,6,0.281,0.848,268.888889,106.0,5,98,3.31,1.08,3.92,8
10,2026-05-25,2026-05-31,Maestro Max,NY ZOHRAN 🔥,82,263,47,12,42,7,0.312,0.897,292.222222,86.0,6,82,3.98,1.26,3.15,6
10,2026-05-25,2026-05-31,Andrethegiant,Springers Dingers,60,245,37,13,40,6,0.245,0.793,272.222222,77.1,1,89,4.42,1.34,2.78,6
10,2026-05-25,2026-05-31,Springers Dingers,Andrethegiant,59,246,38,18,40,7,0.24,0.841,273.333333,60.0,1,63,3.75,1.17,6.3,3
11,2026-06-01,2026-06-07,STANTONIOUS,NY ZOHRAN 🔥,56,237,30,7,26,8,0.236,0.715,263.333333,89.0,4,85,4.25,1.18,4.05,5
11,2026-06-01,2026-06-07,NY ZOHRAN 🔥,STANTONIOUS,62,238,35,6,19,10,0.261,0.727,264.444444,104.0,8,101,5.02,1.31,3.26,5
11,2026-06-01,2026-06-07,Springers Dingers,Maestro Max,53,243,40,11,31,11,0.218,0.681,270.0,66.1,2,61,5.43,1.39,2.77,3
11,2026-06-01,2026-06-07,Maestro Max,Springers Dingers,68,249,41,8,30,4,0.273,0.797,276.666667,92.1,2,82,3.7,1.12,2.56,5
11,2026-06-01,2026-06-07,Bleacherboysfan1,The Big Kahuna,58,241,32,14,38,6,0.241,0.782,267.777778,92.1,2,79,5.17,1.31,1.98,8
11,2026-06-01,2026-06-07,The Big Kahuna,Bleacherboysfan1,50,231,36,9,29,13,0.216,0.696,256.666667,94.0,5,88,5.07,1.44,2.59,2
11,2026-06-01,2026-06-07,Andrethegiant,Vaterlaus,68,275,42,14,42,1,0.247,0.771,305.555556,73.2,1,77,2.44,0.96,4.53,8
11,2026-06-01,2026-06-07,Vaterlaus,Andrethegiant,73,245,40,13,37,4,0.298,0.883,272.222222,103.2,0,92,2.69,1.15,2.56,8
12,2026-06-08,2026-06-14,STANTONIOUS,Springers Dingers,59,238,38,12,36,6,0.248,0.811,264.444444,101.1,3,92,5.51,1.29,3.29,6
12,2026-06-08,2026-06-14,Springers Dingers,STANTONIOUS,56,231,41,19,36,4,0.242,0.873,256.666667,48.2,3,56,6.66,1.6,2.8,1
12,2026-06-08,2026-06-14,Maestro Max,Vaterlaus,62,242,32,9,42,7,0.256,0.738,268.888889,81.1,4,85,4.32,1.2,3.7,5
12,2026-06-08,2026-06-14,Vaterlaus,Maestro Max,64,252,39,10,33,7,0.254,0.749,280.0,91.1,1,83,3.94,1.34,2.52,5
12,2026-06-08,2026-06-14,NY ZOHRAN 🔥,The Big Kahuna,77,261,38,11,41,9,0.295,0.832,290.0,95.0,6,91,5.02,1.32,3.5,5
12,2026-06-08,2026-06-14,The Big Kahuna,NY ZOHRAN 🔥,59,247,40,13,34,5,0.239,0.746,274.444444,110.2,2,94,3.42,1.16,2.94,8
12,2026-06-08,2026-06-14,Andrethegiant,Bleacherboysfan1,76,245,43,18,42,1,0.31,0.972,272.222222,64.1,1,75,3.5,1.06,5.77,4
12,2026-06-08,2026-06-14,Bleacherboysfan1,Andrethegiant,80,249,45,15,32,4,0.321,0.975,276.666667,106.2,6,96,4.05,1.35,2.34,7
13,2026-06-15,2026-06-21,STANTONIOUS,Vaterlaus,63,221,32,16,32,0,0.285,0.92,245.555556,100.1,7,102,5.2,1.25,3.09,8
13,2026-06-15,2026-06-21,Vaterlaus,STANTONIOUS,55,240,29,10,43,5,0.229,0.701,266.666667,89.1,0,97,4.53,1.12,4.22,7
13,2026-06-15,2026-06-21,Springers Dingers,The Big Kahuna,52,230,31,11,34,3,0.226,0.723,255.555556,50.0,3,48,2.52,1.28,2.0,2
13,2026-06-15,2026-06-21,The Big Kahuna,Springers Dingers,57,228,33,10,32,2,0.25,0.726,253.333333,76.2,4,63,6.57,1.64,1.8,7
13,2026-06-15,2026-06-21,NY ZOHRAN 🔥,Bleacherboysfan1,73,243,46,14,41,7,0.3,0.893,270.0,93.0,3,100,3.1,1.18,3.85,9
13,2026-06-15,2026-06-21,Bleacherboysfan1,NY ZOHRAN 🔥,66,234,35,11,32,3,0.282,0.851,260.0,103.1,4,94,3.31,1.19,3.62,8
13,2026-06-15,2026-06-21,Andrethegiant,Maestro Max,67,241,45,15,44,2,0.278,0.883,267.777778,92.2,0,92,2.62,1.07,3.83,9
13,2026-06-15,2026-06-21,Maestro Max,Andrethegiant,55,251,31,11,36,2,0.219,0.706,278.888889,48.1,3,54,5.59,1.45,2.57,2
14,2026-06-22,2026-06-28,STANTONIOUS,Andrethegiant,58,261,35,6,27,4,0.222,0.626,290.0,110.2,5,117,3.74,1.16,3.16,8
14,2026-06-22,2026-06-28,Andrethegiant,STANTONIOUS,64,249,39,9,28,2,0.257,0.759,276.666667,103.0,0,93,2.71,1.15,3.21,10
14,2026-06-22,2026-06-28,The Big Kahuna,Vaterlaus,67,256,37,11,39,3,0.262,0.771,284.444444,83.1,3,90,4.0,1.3,3.91,5
14,2026-06-22,2026-06-28,Vaterlaus,The Big Kahuna,70,275,32,6,27,7,0.255,0.699,305.555556,100.1,0,115,3.68,1.17,4.26,5
14,2026-06-22,2026-06-28,Bleacherboysfan1,Maestro Max,69,253,34,12,41,7,0.273,0.849,281.111111,110.2,3,97,3.66,1.12,2.85,9
14,2026-06-22,2026-06-28,Maestro Max,Bleacherboysfan1,71,263,36,8,27,5,0.27,0.783,292.222222,87.0,4,100,3.0,1.16,2.78,7
14,2026-06-22,2026-06-28,NY ZOHRAN 🔥,Springers Dingers,58,258,35,12,35,8,0.225,0.71,286.666667,73.1,8,81,2.7,1.2,3.12,7
14,2026-06-22,2026-06-28,Springers Dingers,NY ZOHRAN 🔥,64,245,35,13,33,7,0.261,0.788,272.222222,76.2,6,71,6.22,1.53,2.22,3
